TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_II_VL_CARTEIRA;TAB_II_A_VL_INDUST;TAB_II_B_VL_IMOBIL;TAB_II_C_VL_COMERC;TAB_II_C1_VL_COMERC;TAB_II_C2_VL_VAREJO;TAB_II_C3_VL_ARREND;TAB_II_D_VL_SERV;TAB_II_D1_VL_SERV;TAB_II_D2_VL_SERV_PUBLICO;TAB_II_D3_VL_SERV_EDUC;TAB_II_D4_VL_ENTRET;TAB_II_E_VL_AGRONEG;TAB_II_F_VL_FINANC;TAB_II_F1_VL_CRED_PESSOA;TAB_II_F2_VL_CRED_PESSOA_CONSIG;TAB_II_F3_VL_CRED_CORP;TAB_II_F4_VL_MIDMARKET;TAB_II_F5_VL_VEICULO;TAB_II_F6_VL_IMOBIL_EMPRESA;TAB_II_F7_VL_IMOBIL_RESID;TAB_II_F8_VL_OUTRO;TAB_II_G_VL_CREDITO;TAB_II_H_VL_FACTOR;TAB_II_H1_VL_PESSOA;TAB_II_H2_VL_CORP;TAB_II_I_VL_SETOR_PUBLICO;TAB_II_I1_VL_PRECAT;TAB_II_I2_VL_TRIBUT;TAB_II_I3_VL_ROYALTIES;TAB_II_I4_VL_OUTRO;TAB_II_J_VL_JUDICIAL;TAB_II_K_VL_MARCA
Classe;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2025-02-28;1393943263.92;0.00;0.00;0.00;0.00;0.00;0.00;1393943263.92;1393943263.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2025-02-28;338797346.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;338797346.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;338797346.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;12161074.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12161074.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12161074.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;06.182.371/0001-18;FOR-TE FIDC;2025-02-28;761791761.33;0.00;0.00;0.00;0.00;0.00;0.00;761791761.33;761791761.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;9319696.72;0.00;0.00;8324677.44;8324677.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;995019.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;995019.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-02-28;122210824.70;44706146.97;0.00;7143562.25;5956819.33;1186742.92;0.00;18560037.90;18369278.83;0.00;190759.07;0.00;0.00;51801077.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;51801077.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.507.899/0001-82;GP FIDC FCVS;2025-02-28;7556933.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7556933.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7556933.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2025-02-28;893612031.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;223395131.82;0.00;1500852.60;0.00;0.00;0.00;0.00;0.00;221894279.22;0.00;0.00;0.00;0.00;670216898.70;670216898.70;0.00;0.00;0.00;1.00;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;301287240.36;168073683.59;0.00;96024135.33;79188372.94;16835762.39;0.00;31845550.85;31845550.85;0.00;0.00;0.00;3063816.54;2280054.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2280054.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-02-28;20989417.06;5585984.50;0.00;161500.29;161500.29;0.00;0.00;15241932.27;15241932.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
