TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_SCR_RISCO_DEVEDOR_AA;TAB_X_SCR_RISCO_DEVEDOR_A;TAB_X_SCR_RISCO_DEVEDOR_B;TAB_X_SCR_RISCO_DEVEDOR_C;TAB_X_SCR_RISCO_DEVEDOR_D;TAB_X_SCR_RISCO_DEVEDOR_E;TAB_X_SCR_RISCO_DEVEDOR_F;TAB_X_SCR_RISCO_DEVEDOR_G;TAB_X_SCR_RISCO_DEVEDOR_H;TAB_X_SCR_RISCO_OPER_AA;TAB_X_SCR_RISCO_OPER_A;TAB_X_SCR_RISCO_OPER_B;TAB_X_SCR_RISCO_OPER_C;TAB_X_SCR_RISCO_OPER_D;TAB_X_SCR_RISCO_OPER_E;TAB_X_SCR_RISCO_OPER_F;TAB_X_SCR_RISCO_OPER_G;TAB_X_SCR_RISCO_OPER_H;TAB_X_DEBITO_TRIBUT
Classe;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2025-02-28;1393943263.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1393943263.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;39032222.21
Classe;06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12161074.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12161074.09;0.00
Classe;06.182.371/0001-18;FOR-TE FIDC;2025-02-28;761791761.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;761791761.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;114052660.08
Classe;07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;11482194.84;0.00;0.00;0.00;187500.00;0.00;0.00;0.00;1003791.82;11482194.84;0.00;0.00;0.00;187500.00;0.00;0.00;0.00;1003791.82;17219381.25
Classe;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-02-28;65921609.50;12685267.80;32698986.70;3250507.80;508996.60;2166818.30;481228.40;252619.60;4244790.10;65921609.50;12685267.80;32698986.70;3250507.80;508996.60;2166818.30;481228.40;252619.60;4244790.10;0.00
Classe;07.507.899/0001-82;GP FIDC FCVS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;893612031.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;893612031.52;561349852.86
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;238281943.55
Classe;07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20989417.07
Classe;07.742.454/0001-87;GP - FIDC FCVS 2;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - MULTICARTEIRA;2025-02-28;2596109.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2596109.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.270.249/0001-29;MACCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;41357002.40;0.00;3139685.62;0.00;0.00;5031541.97;1364756.91;0.00;5759329.13;41357002.40;0.00;3139685.62;0.00;0.00;5031541.97;1364756.91;0.00;5759329.13;40077076.09
Classe;08.315.045/0001-67;HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;135066807.96
Classe;08.417.544/0001-65;CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.611.414/0001-69;V3 FIDC MULTICARTEIRA - NP;2025-02-28;670814594.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;670814594.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2025-02-28;712896858.10;26343820.90;172315787.00;82768.20;4956326.90;2214467.10;0.00;1834446.90;6682391.20;712896858.10;26343820.90;172315787.00;82768.20;4956326.90;2214467.10;0.00;1834446.90;6682391.20;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;208071931.23;0.00;15992760.87;0.00;0.00;1763612.49;1632354.61;0.00;12448189.72;208071931.23;0.00;15992760.87;0.00;0.00;1763612.49;1632354.61;0.00;12448189.72;164837838.48
Classe;08.678.936/0001-88;SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;784543655.69;0.00;76536312.06;0.00;0.00;3730274.66;1680174.92;0.00;25037353.10;784543655.69;0.00;76536312.06;0.00;0.00;3730274.66;1680174.92;0.00;25037353.10;528426783.29
Classe;08.692.888/0001-82;CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.756.222/0001-40;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TRADEMAX RESPONSABILIDADE LIMITADA;2025-02-28;206966499.16;0.00;0.00;10173155.35;0.00;10064712.83;177771.15;0.00;3512985.40;206966499.16;0.00;0.00;10173155.35;0.00;10064712.83;177771.15;0.00;3512985.40;65143876.93
Classe;08.927.488/0001-09;FIDC TRENDBANK BANCO DE FOMENTO - MULTISETORIAL;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.930.397/0001-22;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL PROSPECTA LP;2025-02-28;41364652.88;0.00;12803785.68;0.00;0.00;54471.24;0.00;0.00;195132.19;41364652.88;0.00;12803785.68;0.00;0.00;54471.24;0.00;0.00;195132.19;19150666.88
Classe;08.987.105/0001-98;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FORNECEDORES I DE RESPONSABILIDADE LIMITADA;2025-02-28;5519014.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5519014.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16230231.64
Classe;09.009.924/0001-23;ECO MULTI COMMODITIES FIDC FINANCEIROS AGROPECUARIOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;47605063.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;47605063.36;0.00
Classe;09.057.948/0001-58;FIDC MULTISETORIAL EXICON I;2025-02-28;80449524.41;3226370.75;2242004.71;0.00;0.00;863156.68;1647808.94;0.00;18766191.50;80449524.41;3226370.75;2242004.71;0.00;0.00;863156.68;1647808.94;0.00;18766191.50;61523797.56
Classe;09.072.384/0001-22;CREDITMIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.104.359/0001-83;DETOMASO FIDC-NP MULTISSETORIAL;2025-02-28;96069631.82;0.00;21304436.76;0.00;0.00;4756884.42;10508.72;0.00;12312617.81;96069631.82;0.00;21304436.76;0.00;0.00;4756884.42;10508.72;0.00;12312617.81;33486938.85
Classe;09.115.244/0001-94;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;520561477.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;520561477.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.137.729/0001-89;MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;83117225.82
Classe;09.163.026/0001-25;MERIDIANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;65463650.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;81249903.44;65463650.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;81249903.44;1882959.02
Classe;09.172.117/0001-27;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP;2025-02-28;136293268.80;21450988.70;76775720.10;43677374.30;39229197.10;1972748.80;524335.00;5760447.00;25452486.20;136293268.80;21450988.70;76775720.10;43677374.30;39229197.10;1972748.80;524335.00;5760447.00;25452486.20;0.00
Classe;09.195.235/0001-50;FIDC DO SISTEMA PETROBRAS;2025-02-28;78977355950.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;78977355950.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.217.017/0001-70;ACCESS 1 FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.217.024/0001-71;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRANQUIAS - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.220.444/0001-07;DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27842899.84
Classe;09.221.411/0001-81;VERTIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;44231472.82
Classe;09.236.210/0001-58;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS SELECIONADOS I;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.239.216/0001-89;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SM LP;2025-02-28;8729039.40;0.00;0.00;857609.11;0.00;0.00;0.00;0.00;1425920.24;8729039.40;0.00;0.00;857609.11;0.00;0.00;0.00;0.00;1425920.24;12911414.46
Classe;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.266.437/0001-46;JPP EMPRESAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA;2025-02-28;0.00;0.00;0.00;68390484.84;0.00;0.00;0.00;0.00;0.00;68390484.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;179991544.67
Classe;09.363.400/0001-36;MERCANTIL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISETORIAL;2025-02-28;102599306.89;1625537.87;9552873.80;0.00;0.00;294330.14;0.00;0.00;0.00;102599306.89;1625537.87;9552873.80;0.00;0.00;294330.14;0.00;0.00;0.00;51688051.98
Classe;09.410.142/0001-00;TARGET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS- MULTICREDITO;2025-02-28;25278375.49;0.00;1955728.57;0.00;0.00;161593.08;25544.61;0.00;2677853.40;25278375.49;0.00;1955728.57;0.00;0.00;161593.08;25544.61;0.00;2677853.40;22403423.99
Classe;09.414.255/0001-75;DANIELE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14525164.17
Classe;09.443.633/0001-49;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;234559207.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;234559207.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.520.712/0001-06;GRAN FIDC NÃO-PADRONIZADOS MULTISSETORIAL NP - GRANFIDC;2025-02-28;12751084.39;0.00;671676.10;0.00;0.00;3426966.34;211245.72;0.00;2451717.00;12751084.39;0.00;671676.10;0.00;0.00;3426966.34;211245.72;0.00;2451717.00;18476594.00
Classe;09.527.140/0001-97;BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2025-02-28;320595819.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320595819.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.577.075/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BANCO GM - FINANCIAMENTO A CONCESSIONÁRIAS;2025-02-28;379159217.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;379159217.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
