TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_VL_LIQUIDEZ_0;TAB_X_VL_LIQUIDEZ_30;TAB_X_VL_LIQUIDEZ_60;TAB_X_VL_LIQUIDEZ_90;TAB_X_VL_LIQUIDEZ_180;TAB_X_VL_LIQUIDEZ_360;TAB_X_VL_LIQUIDEZ_MAIOR_360
Classe;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2025-02-28;148617386.42;821087686.81;572856255.87;0.00;0.00;0.00;0.00
Classe;06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;06.182.371/0001-18;FOR-TE FIDC;2025-02-28;13499409.08;360625703.09;314925894.21;86407072.01;0.00;0.00;0.00
Classe;07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-02-28;10978354.12;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.507.899/0001-82;GP FIDC FCVS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;7556933.22
Classe;07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2025-02-28;1827979936.92;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-02-28;2648019.63;57560.23;0.00;0.00;0.00;0.00;0.00
Classe;07.742.454/0001-87;GP - FIDC FCVS 2;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;88210408.41
Classe;08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - MULTICARTEIRA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
